t,x,y,yaw,u,w
34.601,0.3358803611007795,1.1457569167798056,-1.0765038649549832,0.05722964858647354,0.2665315713069502
34.651,0.3494156331355625,1.1206634841694039,-1.065318331817154,0.9161198288797063,0.2784577291380206
34.701,0.3712745507130554,1.0806369295379536,-1.0513954454502137,0.9427631539952244,0.2784577291380567
34.751,0.38110009434458647,1.0633839255766668,-1.042202727390167,0.05167030788210884,0.10264422745778257
34.801,0.38247286342090653,1.0614568272500449,-1.0371091886642034,0.06360383268959295,0.2105438073410853
34.851,0.3953638366016487,1.0395956961005817,-1.0292624604157177,0.8100889678870447,0.18890182738526823
34.901,0.4159028516074392,1.0049184259446053,-1.019817369074539,0.8369888876666628,0.1889018273853041
34.951,0.42522408362644554,0.989649480498918,-1.0126267683887094,0.05504664632815212,0.1055366240806391
35.001,0.42671922982019467,0.9875416527541457,-1.0076955028357635,0.07227277442592894,0.18316019623609175
35.051,0.43948382632787697,0.9672687102144429,-1.000091577407589,0.7594917674593648,0.1842303378158993
35.101,0.4596884280252134,0.935354783386156,-0.9908800605428465,0.7865753007185858,0.18423033781593479
35.151,0.46898194371104013,0.9210779365728227,-0.9844226560224442,0.0601011467389092,0.08460720908081605
35.201,0.4706563254647927,0.9187982363461836,-0.9804249687783299,0.08184984477051055,0.13710724131364352
35.251,0.48244647957996123,0.9011306810093609,-0.9750346300090738,0.6656525277738082,0.12313813153786271
35.301,0.5008088173102676,0.8736159264080634,-0.9688777234399586,0.6928747071896564,0.12313813153789793
35.351,0.5094497178627647,0.8608355797413786,-0.963951229071396,0.06855412105989783,0.07887488641779174
35.401,0.5112785701749655,0.8581547252871415,-0.9602132060936154,0.09277110258090934,0.10753441272331865
35.451,0.5229552668245744,0.8413046497742072,-0.9556545152042812,0.6352820240750432,0.09995487790251176
35.501,0.540984566494542,0.8154014596711834,-0.9506567713133146,0.6626001716440905,0.09995487790254681
35.551,0.5495841058674118,0.803002848054179,-0.9470332605224309,0.07706949704356733,0.054594508116452424
35.601,0.5515171130650129,0.7998940447748636,-0.9443412265040849,0.10442679565550182,0.05459450811648732
35.651,0.5625389706352035,0.7843585468932533,-0.9413603106104221,0.5812033460636685,0.06335770394295902
35.701,0.57934715598153,0.7609036537896093,-0.9381924254143321,0.6085856598010831,0.06335770394299384
35.751,0.5876900168591941,0.7491937968124329,-0.9356753696803822,0.08946598775863882,0.04166338852312334
35.801,0.5900326260131475,0.7456187155425341,-0.9335922002545253,0.11687218635535856,0.041663388523158124
35.851,0.6004501126002416,0.7312467225274691,-0.9319419763934553,0.529722589939498,0.02723186969255577
35.901,0.615942221672925,0.7100168680792133,-0.9305803829089094,0.5571441042049879,0.027231869692590463
35.951,0.6239955604171574,0.6988903970494931,-0.9297290423580494,0.10236202914869322,0.010223438568146549
36.001,0.6267504297439891,0.694816794971285,-0.9292178704296447,0.12979241034239808,0.010223438568181226
36.051,0.6365469930675205,0.681391508613095,-0.9291301583904596,0.4834254757605434,-0.0038918910725819285
36.101,0.6507071040954918,0.6620552586496705,-0.9293247529440862,0.5108582374725662,-0.0038918910725472544
36.151,0.6584580133239127,0.6513598243854608,-0.929979092054124,0.1156759471106371,-0.019216709620170944
36.201,0.661607251502329,0.6467499590351851,-0.930939927535101,0.14310533649297125,-0.01921670962013626
36.251,0.6707772254334389,0.6340959014413611,-0.932331664157929,0.4414691033479959,-0.03358008101777029
36.301,0.6836134026082316,0.6163901680482782,-0.934010668208658,0.46888904099225914,-0.03358008101773556
36.351,0.6910466162594283,0.6060037633133754,-0.9360378366622367,0.1290960358931663,-0.04518556111730119
36.401,0.6945557426141771,0.6008269941897807,-0.9382971147177165,0.15650073993414873,-0.045185561117266425
36.451,0.7030885451929451,0.5888176453525297,-0.9409914069076586,0.4026733077539348,-0.059686032276098096
36.501,0.7146119209069246,0.5725567046530662,-0.9439757085205757,0.43005713380735744,-0.05968603227606327
36.551,0.7217047842217283,0.562394770620251,-0.9471484907685362,0.14229563892693567,-0.06596872011707089
36.601,0.725525273103814,0.5566314029342883,-0.950446926773192,0.16965245727439615,-0.06596872011703597
